00 00 00 00,LCC,ZERO -
00 00 00 01,LCC,RELEASE. LIFT-OFF.
00 00 00 02,CMP,Lift-off. Clock start. Pll.
00 00 00 04,CDR,The clock start?
00 00 00 09,CMP,Beautiful!
00 00 00 10,LCC,Clear of the tower!
00 00 00 11,CDR,Tower clear. Roll and pitch start. Oh! Look at that ... - -
00 00 00 14,CC,Roger; you have good thrust in all five engines - -
00 00 00 16,CDR,Beautiful.
00 00 00 18,CMP,Go [comma] baby [comma] go!
00 00 00 21,LMP,She's going; she's going. Everything's good.
00 00 00 24,CDR,Okay.
00 00 00 29,CDR,Okay [comma]  Houston. Roll complete.
00 00 00 30,CC,Roger. Roll complete.
00 00 00 37,CMP,37 [comma]  38 - -
00 00 00 39,CC,Stand by for Mode I Bravo.
00 00 00 40,CMP,40 [comma]  41 - -
00 00 00 42,CC,MARK; I Bravo now.
00 00 00 43,CDR,Okay [comma]  we're I Bravo.
00 00 00 44,CMP,I Bravo.
00 00 00 49,CDR,Okay. Coming up on our favorite number [comma]  babe.
00 00 00 51,CMP,Stand by. I didn't want you to - I was going to give you that one.
00 00 00 56,CDR,CABIN PRESSURE RELIEF.
00 00 00 57,CMP,Okay.
00 00 00 58,CDR,Good.
00 00 01 00,CMP,One minute and 69.
00 00 01 12,CC,14 [comma]  Houston. Everything looks good here on the ground.
00 00 01 16,CDR,Roger.
00 00 01 29,CDR,And we got through MAX Q real fine [comma]  troops.
00 00 01 32,CMP,Yes.
00 00 01 36,LMP,Watch her go.
00 00 01 40,CDR,Now [comma]  we're off and running. Look at the ice coming off.
00 00 01 50,CDR,Okay [comma]  coming up on 2 - -
00 00 01 52,CMP,Roger.
00 00 01 54,CDR,- - 3 [comma] 2 and a half g's.
00 00 01 56,CC,Stand by for Mode I Charlie.
00 00 01 59,CC,MARK; I Charlie now.
00 00 02 00,CMP,I Charlie.
00 00 02 01,CDR,We're I Charlie. EDS AUTO's OFF.
00 00 02 03,CC,Roger.
00 00 02 06,CDR,Okay [comma]  inboard in about 10 seconds.
00 00 02 07,CMP,Roger.
00 00 02 14,CMP,Okay [comma]  about 2 seconds.
00 00 02 16,CDR,INBOARD CUT-OFF.
00 00 02 18,CC,Inboard.
00 00 02 21,CDR,
00 00 02 26,CMP,Okay [comma]  attitude is good.
00 00 02 28,CDR,Yes.
00 00 02 32,CDR,About 10 seconds to cut-off.
00 00 02 37,CMP,...
00 00 02 38,CDR,Okay.
00 00 02 41,CDR,Five to go.
00 00 02 45,CDR,CUT-OFF.
00 00 02 46,CMP,SEPARATION.
00 00 02 49,CDR,IGNITION on five.
00 00 02 51,CMP,Okay. You could see the flare from lift-off.
00 00 02 55,LMP,You sure could. Uh-huh.
00 00 02 58,CDR,Looks good on five engines.
00 00 02 59,CMP,Oh [comma]  beautiful.
00 00 03 02,CC,Roger. We confirm good thrust on all five engines
00 00 03 06,CMP,Okay. Passing 3 minutes.
00 00 03 07,CDR,...
00 00 03 08,CMP,If we don't get that job - -
00 00 03 10,CDR,S-II SEP.
00 00 03 11,CMP,- - We're about 4 seconds from S-II SEP. Right.
00 00 03 13,CDR,S-II SEP.
00 00 03 14,CMP,Good SEP.
00 00 03 15,CDR,Let her go [comma]  Stu.
00 00 03 18,CMP,17 [comma]  18 [comma]  19 [comma]  20.
00 00 03 19,CDR,
00 00 03 20,CDR,There goes the tower!
00 00 03 22,CMP,There she goes!
00 00 03 23,CC,We confirm the skirt SEP [comma]  and you're in Mode II now.
00 00 03 26,CDR,Mode II.
00 00 03 27,CMP,We're in Mode II in the cockpit [comma]  troops.
