000:00:00|LCC|ZERO -
000:00:01|LCC|RELEASE. LIFT-OFF.
000:00:02|CMP|Lift-off. Clock start. Pll.
000:00:04|CDR|The clock start?
000:00:09|CMP|Beautiful!
000:00:10|LCC|Clear of the tower!
000:00:11|CDR|Tower clear. Roll and pitch start. Oh! Look at that ... - -
000:00:14|CC|Roger; you have good thrust in all five engines - -
000:00:16|CDR|Beautiful.
000:00:18|CMP|Go, baby, go!
000:00:21|LMP|She's going; she's going. Everything's good.
000:00:24|CDR|Okay.
000:00:29|CDR|Okay, Houston. Roll complete.
000:00:30|CC|Roger. Roll complete.
000:00:37|CMP|37, 38 - -
000:00:39|CC|Stand by for Mode I Bravo.
000:00:40|CMP|40, 41 - -
000:00:42|CC|MARK; I Bravo now.
000:00:43|CDR|Okay, we're I Bravo.
000:00:44|CMP|I Bravo.
000:00:49|CDR|Okay. Coming up on our favorite number, babe.
000:00:51|CMP|Stand by. I didn't want you to - I was going to give you that one.
000:00:56|CDR|CABIN PRESSURE RELIEF.
000:00:57|CMP|Okay.
000:00:58|CDR|Good.
000:01:00|CMP|One minute and 69.
000:01:12|CC|14, Houston. Everything looks good here on the ground.
000:01:16|CDR|Roger.
000:01:29|CDR|And we got through MAX Q real fine, troops.
000:01:32|CMP|Yes.
000:01:36|LMP|Watch her go.
000:01:40|CDR|Now, we're off and running. Look at the ice coming off.
000:01:50|CDR|Okay, coming up on 2 - -
000:01:52|CMP|Roger.
000:01:54|CDR|- - 3,2 and a half g's.
000:01:56|CC|Stand by for Mode I Charlie.
000:01:59|CC|MARK; I Charlie now.
000:02:00|CMP|I Charlie.
000:02:01|CDR|We're I Charlie. EDS AUTO's OFF.
000:02:03|CC|Roger.
000:02:06|CDR|Okay, inboard in about 10 seconds.
000:02:07|CMP|Roger.
000:02:14|CMP|Okay, about 2 seconds.
000:02:16|CDR|INBOARD CUT-OFF.
000:02:18|CC|Inboard.
000:02:21|CDR|
000:02:26|CMP|Okay, attitude is good.
000:02:28|CDR|Yes.
000:02:32|CDR|About 10 seconds to cut-off.
000:02:37|CMP|...
000:02:38|CDR|Okay.
000:02:41|CDR|Five to go.
000:02:45|CDR|CUT-OFF.
000:02:46|CMP|SEPARATION.
000:02:49|CDR|IGNITION on five.
000:02:51|CMP|Okay. You could see the flare from lift-off.
000:02:55|LMP|You sure could. Uh-huh.
000:02:58|CDR|Looks good on five engines.
000:02:59|CMP|Oh, beautiful.
000:03:02|CC|Roger. We confirm good thrust on all five engines
000:03:06|CMP|Okay. Passing 3 minutes.
000:03:07|CDR|...
000:03:08|CMP|If we don't get that job - -
000:03:10|CDR|S-II SEP.
000:03:11|CMP|- - We're about 4 seconds from S-II SEP. Right.
000:03:13|CDR|S-II SEP.
000:03:14|CMP|Good SEP.
000:03:15|CDR|Let her go, Stu.
000:03:18|CMP|17, 18, 19, 20.
000:03:19|CDR|
000:03:20|CDR|There goes the tower!
000:03:22|CMP|There she goes!
